Pay Plan Code         Pay Plan Translation                                                                               Start Date of Code           End Date of Code
                       -No Data Reported                                                                                          .                   2100-12-31
*                     *-Invalid                                                                                                   .                   2100-12-31
AA                    AA-ADMINISTRATIVE APPEALS JUDGES                                                                   2001-04-01                   2100-12-31
AD                    AD-ADMINISTRATIVELY DETERMINED RATES, NOT ELSEWHERE SPECIFIED                                      1972-06-01                   2100-12-31
AF                    AF-AMERICAN FAMILY MEMBERS, PL 96-465, SEC 311                                                     1985-01-01                   2100-12-31
AG                    AG-SUMMER PROGRAM                                                                                  1994-03-01                   2100-12-31
AI                    AI-SUPERVISORY INSPECTION CAREER PATH, PUBLIC HEALTH HUMANRESOURCES SYSTEM DEM                     2009-05-01                   2100-12-31
AJ                    AJ-ADMINISTRATIVE JUDGES                                                                           1992-01-01                   2100-12-31
AL                    AL-ADMINISTRATIVE LAW JUDGES                                                                       1991-03-01                   2100-12-31
AO                    AO-MANAGEMENT SUPPORT CAREER PATH, PUBLIC HEALTH HUMAN RESOURCES SYSTEM DEMONS                     2009-05-01                   2100-12-31
AP                    AP-ADMINISTRATIVE, PROFESSIONAL, AND SCIENTIFIC CAREER PATH, PUBLIC HEALTH HUM                     2009-05-01                   2100-12-31
AS                    AS-SCIENTIFIC AND TECHNICAL SUPPORT CAREER PATH, PUBLIC HEALTH HUMAN RESOURCES                     2009-05-01                   2100-12-31
AT                    AT-FEDERAL AVIATION ADMINISTRATION AIR TRAFFIC CONTROLLER COMPENSATION PLAN                        1998-07-01                   2100-12-31
BB                    BB-NONSUPERVISORY - NEGOTIATED PAY EMPLOYEES                                                       1981-08-01                   2100-12-31
BL                    BL-LEADER - NEGOTIATED PAY EMPLOYEES                                                               1981-08-01                   2100-12-31
BP                    BP-PRINTING AND LITHOGRAPHIC - NEGOTIATED PAY EMPLOYEES                                            1981-08-01                   2100-12-31
BS                    BS-SUPERVISORY - NEGOTIATED PAY EMPLOYEES                                                          1981-08-01                   2100-12-31
CA                    CA-BOARD OF CONTRACT APPEALS                                                                       1991-03-01                   2100-12-31
CB                    CB-FDIC WAGE GRADE NON-SUPERVISORY PAY SCHEDULES ONLY                                              2000-08-01                   2100-12-31
CE                    CE-CONTRACT EDUCATION--YEAR LONG                                                                   1980-05-01                   2100-12-31
CF                    CF-FDIC WAGE GRADE SUPERVISORY PAY SCHEDULES ONLY                                                  2000-08-01                   2100-12-31
CG                    CG-CORPORATE GRADED                                                                                1989-07-01                   2100-12-31
